Yıl,İl,Toplam,Erkek,Kadın
2018,Sivas,646608,323575,323033
2018,Şanlıurfa,2035809,1026719,1009090
2018,Şırnak,524190,277585,246605
2018,Tekirdağ,1029927,527975,501952
2018,Tokat,612646,305977,306669
2018,Trabzon,807903,399377,408526
2018,Tunceli,88198,49118,39080
2018,Uşak,367514,182931,184583
2018,Van,1123784,574461,549323
2018,Yalova,262234,131403,130831
2018,Yozgat,424981,211936,213045
2018,Zonguldak,599698,297303,302395
2017,Adana,2216475,1108939,1107536
2017,Adıyaman,615076,309551,305525
2017,Afyonkarahisar,715693,354438,361255
2017,Ağrı,536285,277979,258306
2017,Aksaray,402404,200233,202171
2017,Amasya,329888,164394,165494
2017,Ankara,5445026,2702492,2742534
2017,Antalya,2364396,1192582,1171814
2017,Ardahan,97096,50317,46779
2017,Artvin,166143,83524,82619
2017,Aydın,1080839,539726,541113
2017,Balıkesir,1204824,602275,602549
2017,Bartın,193577,95760,97817
2017,Batman,585252,293843,291409
2017,Bayburt,80417,40980,39437
2017,Bilecik,221693,116528,105165
2017,Bingöl,273354,139182,134172
2017,Bitlis,341474,176501,164973
2017,Bolu,303184,150383,152801
2017,Burdur,264779,133026,131753
2017,Bursa,2936803,1470341,1466462
2017,Çanakkale,530417,269160,261257
2017,Çankırı,186074,93427,92647
2017,Çorum,528422,261605,266817
2017,Denizli,1018735,507543,511192
2017,Diyarbakır,1699901,857070,842831
2017,Düzce,377610,188855,188755
2017,Edirne,406855,206342,200513
2017,Elazığ,583671,290692,292979
2017,Erzincan,231511,118591,112920
2017,Erzurum,760476,379227,381249
2017,Eskişehir,860620,429078,431542
2017,Gaziantep,2005515,1012992,992523
2017,Giresun,437393,217251,220142
2017,Gümüşhane,170173,86097,84076
2017,Hakkari,275761,148490,127271
2017,Hatay,1575226,790209,785017
2017,Iğdır,194775,100268,94507
2017,Isparta,433830,218617,215213
2017,İstanbul,15029231,7529491,7499740
2017,İzmir,4279677,2133548,2146129
2017,Kahramanmaraş,1127623,572111,555512
2017,Karabük,244453,122999,121454
2017,Karaman,246672,123370,123302
2017,Kars,287654,149481,138173
2017,Kastamonu,372373,184289,188084
2017,Kayseri,1376722,689595,687127
2017,Kırıkkale,278749,139602,139147
2017,Kırklareli,356050,181945,174105
2017,Kırşehir,234529,116969,117560
2017,Kilis,136319,69352,66967
2017,Kocaeli,1883270,953145,930125
2017,Konya,2180149,1081718,1098431
2017,Kütahya,572256,282661,289595
2017,Malatya,786676,391869,394807
2017,Manisa,1413041,710378,702663
2017,Mardin,809719,406320,403399
2017,Mersin,1793931,895374,898557
2017,Muğla,938751,478950,459801
2017,Muş,404544,205658,198886
2017,Nevşehir,292365,144219,148146
2017,Niğde,352727,176194,176533
2017,Ordu,742341,371061,371280
2017,Osmaniye,527724,266480,261244
2017,Rize,331041,164978,166063
2017,Sakarya,990214,496488,493726
2017,Samsun,1312990,649524,663466
2017,Siirt,324394,166402,157992
2017,Sinop,207427,103071,104356
2017,Sivas,621301,311120,310181
2017,Şanlıurfa,1985753,999299,986454
2017,Şırnak,503236,263831,239405
2017,Tekirdağ,1005463,516496,488967
2017,Tokat,602086,299519,302567
2017,Trabzon,786326,388713,397613
2017,Tunceli,82498,45781,36717
2017,Uşak,364971,181898,183073
2017,Van,1106891,563824,543067
2017,Yalova,251203,125569,125634
2017,Yozgat,418650,208841,209809
2017,Zonguldak,596892,294494,302398
2016,Adana,2201670,1101340,1100330
2016,Adıyaman,610484,307662,302822
2016,Afyonkarahisar,714523,354458,360065
2016,Ağrı,542255,281389,260866
2016,Aksaray,396673,197362,199311
2016,Amasya,326351,161555,164796
2016,Ankara,5346518,2653431,2693087
2016,Antalya,2328555,1174936,1153619
2016,Ardahan,98335,50884,47451
2016,Artvin,168068,84597,83471
2016,Aydın,1068260,533004,535256
2016,Balıkesir,1196176,596896,599280
2016,Bartın,192389,95131,97258
2016,Batman,576899,290479,286420
2016,Bayburt,90154,46182,43972
2016,Bilecik,218297,114189,104108
2016,Bingöl,269560,137588,131972
2016,Bitlis,341225,177088,164137
2016,Bolu,299896,148481,151415
2016,Burdur,261401,130082,131319
2016,Bursa,2901396,1454059,1447337
2016,Çanakkale,519793,262288,257505
2016,Çankırı,183880,91874,92006
2016,Çorum,527863,261606,266257
2016,Denizli,1005687,500398,505289
2016,Diyarbakır,1673119,844011,829108
2016,Düzce,370371,185775,184596
2016,Edirne,401701,203738,197963
2016,Elazığ,578789,287991,290798
2016,Erzincan,226032,114075,111957
2016,Erzurum,762021,381138,380883
2016,Eskişehir,844842,421580,423262
2016,Gaziantep,1974244,998926,975318
2016,Giresun,444467,220414,224053
2016,Gümüşhane,172034,87564,84470
2016,Hakkari,267813,142486,125327
2016,Hatay,1555165,780854,774311
2016,Iğdır,192785,99057,93728
2016,Isparta,427324,212720,214604
2016,İstanbul,14804116,7424390,7379726
2016,İzmir,4223545,2104632,2118913
2016,Kahramanmaraş,1112634,565816,546818
2016,Karabük,242347,122106,120241
2016,Karaman,245610,122153,123457
2016,Kars,289786,150515,139271
2016,Kastamonu,376945,188039,188906
2016,Kayseri,1358980,681269,677711
2016,Kırıkkale,277984,140085,137899
2016,Kırklareli,351684,179122,172562
2016,Kırşehir,229975,114815,115160
2016,Kilis,130825,65824,65001
2016,Kocaeli,1830772,927157,903615
2016,Konya,2161303,1073631,1087672
2016,Kütahya,573642,283955,289687
2016,Malatya,781305,389572,391733
2016,Manisa,1396945,701094,695851
2016,Mardin,796237,400475,395762
2016,Mersin,1773852,885583,888269
2016,Muğla,923773,470404,453369
2016,Muş,406501,207190,199311
2016,Nevşehir,290895,143698,147197
2016,Niğde,351468,175571,175897
2016,Ordu,750588,376243,374345
2016,Osmaniye,522175,264257,257918
2016,Rize,331048,164727,166321
2016,Sakarya,976948,490935,486013
2016,Samsun,1295927,640699,655228
2016,Siirt,322664,166463,156201
2016,Sinop,205478,101909,103569
2016,Sivas,621224,309364,311860
2016,Şanlıurfa,1940627,976938,963689
2016,Şırnak,483788,251392,232396
2016,Tekirdağ,972875,499819,473056
2016,Tokat,602662,299262,303400
2016,Trabzon,779379,385009,394370
2016,Tunceli,82193,45160,37033
2016,Uşak,358736,179259,179477
2016,Van,1100190,561592,538598
2016,Yalova,241665,120605,121060
2016,Yozgat,421041,210600,210441
2016,Zonguldak,597524,295033,302491
2015,Adana,2183167,1091159,1092008
2015,Adıyaman,602774,303163,299611
2015,Afyonkarahisar,709015,351993,357022
2015,Ağrı,547210,284243,262967
2015,Aksaray,386514,192688,193826
2015,Amasya,322167,159325,162842
2015,Ankara,5270575,2621235,2649340
2015,Antalya,2288456,1156076,1132380
2015,Ardahan,99265,51141,48124
2015,Artvin,168370,84679,83691
2015,Aydın,1053506,525267,528239
2015,Balıkesir,1186688,592718,593970
2015,Bartın,190708,94138,96570
2015,Batman,566633,284866,281767
2015,Bayburt,78550,39935,38615
2015,Bilecik,212361,109794,102567
2015,Bingöl,267184,136601,130583
2015,Bitlis,340449,176929,163520
2015,Bolu,291095,144501,146594
2015,Burdur,258339,128049,130290
2015,Bursa,2842547,1423583,1418964
2015,Çanakkale,513341,259721,253620
2015,Çankırı,180945,90340,90605
2015,Çorum,525180,259993,265187
2015,Denizli,993442,494808,498634
2015,Diyarbakır,1654196,834354,819842
2015,Düzce,360388,181197,179191
2015,Edirne,402537,203349,199188
2015,Elazığ,574304,285511,288793
2015,Erzincan,222918,113158,109760
2015,Erzurum,762321,382163,380158
2015,Eskişehir,826716,412205,414511
2015,Gaziantep,1931836,976126,955710
2015,Giresun,426686,210967,215719
2015,Gümüşhane,151449,76770,74679
2015,Hakkari,278775,151013,127762
2015,Hatay,1533507,769131,764376
2015,Iğdır,192435,99099,93336
2015,Isparta,421766,210152,211614
2015,İstanbul,14657434,7360499,7296935
2015,İzmir,4168415,2078224,2090191
2015,Kahramanmaraş,1096610,556607,540003
2015,Karabük,236978,119332,117646
2015,Karaman,242196,120940,121256
2015,Kars,292660,152040,140620
2015,Kastamonu,372633,184585,188048
2015,Kayseri,1341056,672828,668228
